ts,precio,direccion,ganancia_%_lograda
2025-09-24 19:00:00+00:00,2.9773,CORTO,9.1
2025-09-26 14:00:00+00:00,2.7077,LARGO,7.4
2025-10-05 07:00:00+00:00,3.0633,CORTO,7.1
2025-10-10 21:00:00+00:00,2.3251,LARGO,13.7
2025-10-11 08:00:00+00:00,2.4849,CORTO,6.4
2025-10-12 02:00:00+00:00,2.3263,LARGO,13.7
2025-10-13 20:00:00+00:00,2.644,CORTO,13.2
2025-10-15 08:00:00+00:00,2.5185,CORTO,12.0
2025-10-17 08:00:00+00:00,2.2157,LARGO,11.6
2025-10-20 20:00:00+00:00,2.5323,CORTO,7.7
2025-10-21 15:00:00+00:00,2.5223,CORTO,7.4
2025-10-22 22:00:00+00:00,2.3367,LARGO,13.1
2025-10-27 17:00:00+00:00,2.6914,CORTO,8.9
2025-10-30 19:00:00+00:00,2.3853,LARGO,6.6
2025-10-31 19:00:00+00:00,2.5438,CORTO,8.6
2025-11-04 21:00:00+00:00,2.156,LARGO,10.7
2025-11-06 02:00:00+00:00,2.3865,CORTO,9.1
2025-11-07 12:00:00+00:00,2.1687,LARGO,17.2
2025-11-09 03:00:00+00:00,2.2539,LARGO,13.7
2025-11-10 20:00:00+00:00,2.5638,CORTO,10.3
2025-11-12 16:00:00+00:00,2.3379,LARGO,7.1
2025-11-13 14:00:00+00:00,2.5029,CORTO,11.7
2025-11-17 09:00:00+00:00,2.2739,CORTO,10.4
2025-11-18 18:00:00+00:00,2.2298,CORTO,15.9
2025-11-19 19:00:00+00:00,2.0369,LARGO,5.3
2025-11-20 04:00:00+00:00,2.1458,CORTO,12.6
2025-11-21 11:00:00+00:00,1.8758,LARGO,11.5
2025-11-22 13:00:00+00:00,1.8973,LARGO,19.1
2025-11-28 15:00:00+00:00,2.2453,CORTO,10.6
2025-12-01 16:00:00+00:00,1.9911,LARGO,10.9
2025-12-03 21:00:00+00:00,2.2084,CORTO,8.6
2025-12-07 14:00:00+00:00,1.9991,LARGO,8.3
2025-12-09 16:00:00+00:00,2.165,CORTO,8.6
2025-12-16 02:00:00+00:00,1.8691,LARGO,5.1
2025-12-17 14:00:00+00:00,1.9635,CORTO,9.2
2025-12-18 05:00:00+00:00,1.8318,LARGO,6.4
2025-12-18 15:00:00+00:00,1.9197,CORTO,7.1
2025-12-19 01:00:00+00:00,1.7825,LARGO,9.4
2025-12-31 19:00:00+00:00,1.8287,LARGO,12.0
2026-01-06 02:00:00+00:00,2.393,CORTO,13.0
2026-01-06 23:00:00+00:00,2.3042,CORTO,9.7
2026-01-12 10:00:00+00:00,2.0365,LARGO,7.2
2026-01-14 03:00:00+00:00,2.1838,CORTO,6.9
2026-01-21 16:00:00+00:00,1.8791,LARGO,5.1
2026-01-25 19:00:00+00:00,1.8182,LARGO,6.8
2026-01-28 11:00:00+00:00,1.9415,CORTO,12.7
2026-01-31 17:00:00+00:00,1.5679,LARGO,6.6
2026-02-01 02:00:00+00:00,1.6706,CORTO,8.3
2026-02-02 05:00:00+00:00,1.5497,LARGO,6.2
2026-02-02 12:00:00+00:00,1.646,CORTO,17.1
2026-02-03 18:00:00+00:00,1.5314,LARGO,5.7
2026-02-03 20:00:00+00:00,1.6185,CORTO,28.2
2026-02-05 21:00:00+00:00,1.1625,LARGO,30.2
2026-02-06 15:00:00+00:00,1.5131,CORTO,8.6
2026-02-08 13:00:00+00:00,1.4619,CORTO,7.0
2026-02-09 10:00:00+00:00,1.3831,LARGO,5.1
2026-02-09 20:00:00+00:00,1.4543,CORTO,7.5
2026-02-11 16:00:00+00:00,1.3451,LARGO,9.6
2026-02-15 07:00:00+00:00,1.6497,CORTO,13.0
2026-02-20 13:00:00+00:00,1.3841,LARGO,5.1
2026-02-21 14:00:00+00:00,1.4553,CORTO,8.8
2026-02-23 01:00:00+00:00,1.3326,LARGO,10.8
2026-02-23 12:00:00+00:00,1.4129,CORTO,6.1
2026-02-24 07:00:00+00:00,1.3266,LARGO,11.3
2026-02-25 21:00:00+00:00,1.476,CORTO,13.4
2026-02-28 09:00:00+00:00,1.2779,LARGO,11.5
2026-03-01 02:00:00+00:00,1.4249,CORTO,6.0
2026-03-02 13:00:00+00:00,1.3395,LARGO,9.2
2026-03-03 14:00:00+00:00,1.3468,LARGO,8.6
2026-03-04 15:00:00+00:00,1.4629,CORTO,7.7
2026-03-08 16:00:00+00:00,1.3396,LARGO,7.1
2026-03-12 14:00:00+00:00,1.3693,LARGO,5.4
2026-03-17 02:00:00+00:00,1.5941,CORTO,10.5
2026-03-23 08:00:00+00:00,1.3686,LARGO,6.3
2026-03-23 14:00:00+00:00,1.4554,CORTO,6.0
2026-04-01 06:00:00+00:00,1.3624,CORTO,5.4
2026-04-05 12:00:00+00:00,1.2825,LARGO,8.0
2026-04-07 14:00:00+00:00,1.2966,LARGO,6.8
2026-04-12 14:00:00+00:00,1.3224,LARGO,5.3
2026-04-17 14:00:00+00:00,1.4988,CORTO,7.0
2026-05-08 06:00:00+00:00,1.3817,LARGO,8.9
2026-05-10 17:00:00+00:00,1.5045,CORTO,6.1
2026-05-13 15:00:00+00:00,1.4131,LARGO,8.7
2026-05-14 18:00:00+00:00,1.5362,CORTO,8.7
2026-05-28 03:00:00+00:00,1.279,LARGO,6.4
2026-05-30 02:00:00+00:00,1.3603,CORTO,5.9
2026-06-04 03:00:00+00:00,1.209,CORTO,12.5
2026-06-06 04:00:00+00:00,1.0582,LARGO,11.6
2026-06-08 21:00:00+00:00,1.1808,CORTO,7.5
2026-06-10 21:00:00+00:00,1.0927,LARGO,5.9
2026-06-15 17:00:00+00:00,1.282,CORTO,11.2
2026-06-26 02:00:00+00:00,1.0146,LARGO,6.0
2026-06-30 12:00:00+00:00,1.0278,LARGO,8.0
2026-07-04 17:00:00+00:00,1.1814,CORTO,5.6
