symbol,direccion,resultado,entrada_ts,salida_ts,horas_hasta_salida,pnl_neto_cop
DOGE/USDT,CORTO,TP,2025-08-04 22:00:00+00:00,2025-08-05 03:00:00+00:00,5.0,6996
AVAX/USDT,CORTO,TP,2025-08-04 22:00:00+00:00,2025-08-05 03:00:00+00:00,5.0,6996
LINK/USDT,CORTO,TP,2025-08-04 02:00:00+00:00,2025-08-05 14:00:00+00:00,36.0,6996
ADA/USDT,LARGO,TP,2025-09-14 14:00:00+00:00,2025-09-15 04:00:00+00:00,14.0,6492
XRP/USDT,LARGO,TP,2025-09-14 14:00:00+00:00,2025-09-17 22:00:00+00:00,80.0,6492
XRP/USDT,CORTO,TP,2025-09-24 18:00:00+00:00,2025-09-25 01:00:00+00:00,7.0,6996
ADA/USDT,CORTO,TP,2025-09-28 22:00:00+00:00,2025-09-29 05:00:00+00:00,7.0,6996
AVAX/USDT,CORTO,TP,2025-09-28 22:00:00+00:00,2025-09-29 05:00:00+00:00,7.0,6996
DOGE/USDT,CORTO,TP,2025-09-28 22:00:00+00:00,2025-09-29 06:00:00+00:00,8.0,6996
DOT/USDT,CORTO,TP,2025-09-28 22:00:00+00:00,2025-09-29 06:00:00+00:00,8.0,6996
ADA/USDT,CORTO,TP,2025-10-13 02:00:00+00:00,2025-10-13 04:00:00+00:00,2.0,6996
LINK/USDT,CORTO,TP,2025-10-13 10:00:00+00:00,2025-10-13 11:00:00+00:00,1.0,6996
LINK/USDT,CORTO,TP,2025-10-19 14:00:00+00:00,2025-10-19 23:00:00+00:00,9.0,6996
ADA/USDT,CORTO,TP,2025-10-19 14:00:00+00:00,2025-10-20 00:00:00+00:00,10.0,6996
LTC/USDT,CORTO,TP,2025-10-19 14:00:00+00:00,2025-10-20 00:00:00+00:00,10.0,6996
DOT/USDT,CORTO,TP,2025-11-07 02:00:00+00:00,2025-11-07 04:00:00+00:00,2.0,6996
AVAX/USDT,CORTO,TP,2025-11-24 18:00:00+00:00,2025-11-25 14:00:00+00:00,20.0,6996
ADA/USDT,CORTO,SL,2025-12-02 14:00:00+00:00,2025-12-02 15:00:00+00:00,1.0,-17991
DOGE/USDT,CORTO,SL,2025-12-02 14:00:00+00:00,2025-12-02 15:00:00+00:00,1.0,-17991
LINK/USDT,CORTO,SL,2025-12-02 14:00:00+00:00,2025-12-02 15:00:00+00:00,1.0,-17991
DOT/USDT,CORTO,SL,2025-12-02 18:00:00+00:00,2025-12-03 05:00:00+00:00,11.0,-17991
LTC/USDT,CORTO,SL,2025-12-02 18:00:00+00:00,2025-12-03 05:00:00+00:00,11.0,-17991
DOGE/USDT,CORTO,SL,2025-12-02 18:00:00+00:00,2025-12-03 06:00:00+00:00,12.0,-17991
AVAX/USDT,CORTO,SL,2025-12-02 22:00:00+00:00,2025-12-03 06:00:00+00:00,8.0,-17991
AVAX/USDT,CORTO,TP,2025-12-03 06:00:00+00:00,2025-12-03 14:00:00+00:00,8.0,6996
DOGE/USDT,CORTO,TP,2025-12-29 02:00:00+00:00,2025-12-29 09:00:00+00:00,7.0,6996
ADA/USDT,CORTO,SL,2026-01-01 18:00:00+00:00,2026-01-02 09:00:00+00:00,15.0,-17991
XRP/USDT,LARGO,TP,2026-01-08 06:00:00+00:00,2026-01-08 16:00:00+00:00,10.0,6492
XRP/USDT,CORTO,SL,2026-02-06 14:00:00+00:00,2026-02-06 15:00:00+00:00,1.0,-17991
ADA/USDT,CORTO,TP,2026-02-25 02:00:00+00:00,2026-02-25 04:00:00+00:00,2.0,6996
LINK/USDT,CORTO,TP,2026-02-25 02:00:00+00:00,2026-02-25 04:00:00+00:00,2.0,6996
AVAX/USDT,CORTO,SL,2026-02-25 10:00:00+00:00,2026-02-25 12:00:00+00:00,2.0,-17991
LINK/USDT,CORTO,TP,2026-03-23 14:00:00+00:00,2026-03-23 15:00:00+00:00,1.0,6996
AVAX/USDT,CORTO,TP,2026-03-23 14:00:00+00:00,2026-03-23 15:00:00+00:00,1.0,6996
ADA/USDT,CORTO,TP,2026-03-23 14:00:00+00:00,2026-03-23 16:00:00+00:00,2.0,6996
DOGE/USDT,CORTO,TP,2026-03-23 14:00:00+00:00,2026-03-23 16:00:00+00:00,2.0,6996
DOGE/USDT,CORTO,TP,2026-03-23 18:00:00+00:00,2026-03-23 23:00:00+00:00,5.0,6996
LTC/USDT,CORTO,TP,2026-03-23 14:00:00+00:00,2026-03-26 09:00:00+00:00,67.0,6996
DOT/USDT,CORTO,TP,2026-04-01 06:00:00+00:00,2026-04-01 08:00:00+00:00,2.0,6996
AVAX/USDT,LARGO,TP,2026-05-12 14:00:00+00:00,2026-05-12 19:00:00+00:00,5.0,6492
ADA/USDT,LARGO,TP,2026-05-12 14:00:00+00:00,2026-05-13 00:00:00+00:00,10.0,6492
ADA/USDT,LARGO,TP,2026-06-14 14:00:00+00:00,2026-06-14 21:00:00+00:00,7.0,6492
ADA/USDT,CORTO,TP,2026-07-14 14:00:00+00:00,2026-07-16 08:00:00+00:00,42.0,6996
ADA/USDT,CORTO,TP,2026-07-29 02:00:00+00:00,2026-07-29 03:00:00+00:00,1.0,6996
DOT/USDT,CORTO,TP,2026-08-01 14:00:00+00:00,2026-08-01 18:00:00+00:00,4.0,6996
LINK/USDT,CORTO,TP,2026-08-02 06:00:00+00:00,2026-08-03 03:00:00+00:00,21.0,6996
LTC/USDT,CORTO,TP,2026-08-30 14:00:00+00:00,2026-08-30 21:00:00+00:00,7.0,6996
