symbol,direccion,resultado,entrada_ts,salida_ts,pnl_neto_cop
XRP/USDT,CORTO,TP,2025-10-27 00:00:00+00:00,2025-10-29 00:00:00+00:00,14492
ADA/USDT,LARGO,TP,2025-11-23 00:00:00+00:00,2025-11-24 00:00:00+00:00,13985
AVAX/USDT,LARGO,TP,2025-11-23 00:00:00+00:00,2025-11-24 00:00:00+00:00,13985
DOT/USDT,CORTO,SL,2026-01-03 00:00:00+00:00,2026-01-05 00:00:00+00:00,-15493
XRP/USDT,CORTO,TP,2026-01-06 00:00:00+00:00,2026-01-07 00:00:00+00:00,14492
ADA/USDT,CORTO,TP,2026-01-06 00:00:00+00:00,2026-01-07 00:00:00+00:00,14492
DOGE/USDT,CORTO,TP,2026-01-06 00:00:00+00:00,2026-01-07 00:00:00+00:00,14492
DOT/USDT,CORTO,TP,2026-01-07 00:00:00+00:00,2026-01-09 00:00:00+00:00,14492
XRP/USDT,LARGO,SL,2026-02-02 00:00:00+00:00,2026-02-03 00:00:00+00:00,-15985
LINK/USDT,LARGO,SL,2026-02-02 00:00:00+00:00,2026-02-03 00:00:00+00:00,-15985
AVAX/USDT,LARGO,SL,2026-02-02 00:00:00+00:00,2026-02-03 00:00:00+00:00,-15985
DOT/USDT,LARGO,SL,2026-02-02 00:00:00+00:00,2026-02-03 00:00:00+00:00,-15985
LTC/USDT,LARGO,SL,2026-02-02 00:00:00+00:00,2026-02-03 00:00:00+00:00,-15985
LINK/USDT,LARGO,TP,2026-02-12 00:00:00+00:00,2026-02-13 00:00:00+00:00,13985
DOT/USDT,LARGO,TP,2026-02-12 00:00:00+00:00,2026-02-13 00:00:00+00:00,13985
LTC/USDT,LARGO,TP,2026-02-12 00:00:00+00:00,2026-02-13 00:00:00+00:00,13985
ADA/USDT,CORTO,TP,2026-03-17 00:00:00+00:00,2026-03-18 00:00:00+00:00,14492
LINK/USDT,CORTO,TP,2026-03-17 00:00:00+00:00,2026-03-18 00:00:00+00:00,14492
AVAX/USDT,CORTO,TP,2026-03-17 00:00:00+00:00,2026-03-18 00:00:00+00:00,14492
LTC/USDT,CORTO,TP,2026-03-17 00:00:00+00:00,2026-03-18 00:00:00+00:00,14492
DOT/USDT,CORTO,SL,2026-05-07 00:00:00+00:00,2026-05-08 00:00:00+00:00,-15492
ADA/USDT,CORTO,TP,2026-05-11 00:00:00+00:00,2026-05-12 00:00:00+00:00,14492
LINK/USDT,CORTO,TP,2026-05-11 00:00:00+00:00,2026-05-12 00:00:00+00:00,14492
LTC/USDT,LARGO,SL,2026-06-03 00:00:00+00:00,2026-06-04 00:00:00+00:00,-15985
ADA/USDT,LARGO,TP,2026-06-06 00:00:00+00:00,2026-06-07 00:00:00+00:00,13985
DOGE/USDT,LARGO,TP,2026-06-06 00:00:00+00:00,2026-06-07 00:00:00+00:00,13985
LINK/USDT,LARGO,TP,2026-06-06 00:00:00+00:00,2026-06-07 00:00:00+00:00,13985
AVAX/USDT,LARGO,SL,2026-06-07 00:00:00+00:00,2026-06-08 00:00:00+00:00,-15985
DOT/USDT,LARGO,SL,2026-06-07 00:00:00+00:00,2026-06-09 00:00:00+00:00,-15985
LTC/USDT,LARGO,SL,2026-06-07 00:00:00+00:00,2026-06-10 00:00:00+00:00,-15985
LTC/USDT,LARGO,TP,2026-06-11 00:00:00+00:00,2026-06-13 00:00:00+00:00,13985
ADA/USDT,LARGO,SL,2026-06-11 00:00:00+00:00,2026-06-14 00:00:00+00:00,-15985
AVAX/USDT,LARGO,SL,2026-06-11 00:00:00+00:00,2026-06-14 00:00:00+00:00,-15985
DOT/USDT,LARGO,SL,2026-06-26 00:00:00+00:00,2026-06-27 00:00:00+00:00,-15985
DOGE/USDT,LARGO,SL,2026-06-26 00:00:00+00:00,2026-06-28 00:00:00+00:00,-15985
DOGE/USDT,LARGO,SL,2026-06-29 00:00:00+00:00,2026-06-30 00:00:00+00:00,-15985
DOT/USDT,LARGO,SL,2026-06-29 00:00:00+00:00,2026-06-30 00:00:00+00:00,-15985
DOGE/USDT,LARGO,TP,2026-07-01 00:00:00+00:00,2026-07-02 00:00:00+00:00,13985
DOT/USDT,LARGO,TP,2026-07-01 00:00:00+00:00,2026-07-02 00:00:00+00:00,13985
XRP/USDT,CORTO,TP,2026-07-05 00:00:00+00:00,2026-07-06 00:00:00+00:00,14492
ADA/USDT,CORTO,TP,2026-07-05 00:00:00+00:00,2026-07-06 00:00:00+00:00,14492
AVAX/USDT,CORTO,TP,2026-07-05 00:00:00+00:00,2026-07-06 00:00:00+00:00,14492
LINK/USDT,CORTO,TP,2026-07-06 00:00:00+00:00,2026-07-08 00:00:00+00:00,14492
LTC/USDT,CORTO,TP,2026-07-06 00:00:00+00:00,2026-07-08 00:00:00+00:00,14492
LINK/USDT,CORTO,TP,2026-07-22 00:00:00+00:00,2026-07-24 00:00:00+00:00,14492
ADA/USDT,CORTO,SL,2026-08-04 00:00:00+00:00,2026-08-05 00:00:00+00:00,-15493
ADA/USDT,CORTO,TP,2026-08-07 00:00:00+00:00,2026-08-09 00:00:00+00:00,14492
LINK/USDT,CORTO,SL,2026-08-18 00:00:00+00:00,2026-08-19 00:00:00+00:00,-15492
AVAX/USDT,CORTO,TP,2026-09-08 00:00:00+00:00,2026-09-09 00:00:00+00:00,14492
